tag,description
highlight,Highlight
between,working between media to advance writing process
early,writing before widespread computer usage
paper,using paper in the writing proceess
files,usage and organization of computer files
printdig,the difference between print and the screen
change,writing practice changes due to computerization
prompt,generating new work
revision,revision
mss,"constructing and publishing manuscripts/books"
career,my writing career
future,future archives of my work
correspondence,correspondence with other writers
flarf,the history of Flarf
software, the use of software and/or code for writing
yaleyounger,book selections for the Yale Series of Younger Poets
